Emotions,Path
Happiness,Datasets\ESD\0017\Happy\0017_000856.wav
Neutral,Datasets\CREMA-D\1064_MTI_NEU_XX.wav
Surprise,Datasets\TESS\YAF_pleasant_surprised\YAF_mood_ps.wav
Happiness,Datasets\TESS\OAF_happy\OAF_south_happy.wav
Anger,Datasets\ESD\0011\Angry\0011_000635.wav
Neutral,Datasets\ESD\0016\Neutral\0016_000302.wav
Surprise,Datasets\ESD\0011\Surprise\0011_001703.wav
Disgust,Datasets\CREMA-D\1065_ITS_DIS_XX.wav
Surprise,Datasets\ESD\0016\Surprise\0016_001644.wav
Sadness,Datasets\ESD\0013\Sad\0013_001068.wav
Sadness,Datasets\ESD\0019\Sad\0019_001303.wav
Sadness,Datasets\CREMA-D\1036_IOM_SAD_XX.wav
Happiness,Datasets\ESD\0013\Happy\0013_000854.wav
Disgust,Datasets\TESS\YAF_disgust\YAF_germ_disgust.wav
Neutral,Datasets\ESD\0019\Neutral\0019_000246.wav
Surprise,Datasets\ESD\0014\Surprise\0014_001724.wav
Happiness,Datasets\JL\female1_happy_15b_2.wav
Surprise,Datasets\ESD\0020\Surprise\0020_001610.wav
Surprise,Datasets\ESD\0011\Surprise\0011_001668.wav
Fear,Datasets\CREMA-D\1044_TIE_FEA_XX.wav
Surprise,Datasets\ESD\0016\Surprise\0016_001418.wav
Fear,Datasets\SAVEE\KL\f02.wav
Surprise,Datasets\ESD\0011\Surprise\0011_001698.wav
Surprise,Datasets\ESD\0018\Surprise\0018_001689.wav
Anger,Datasets\ESD\0017\Angry\0017_000394.wav
Neutral,Datasets\JL\male2_neutral_5a_2.wav
Anger,Datasets\ESD\0012\Angry\0012_000694.wav
Neutral,Datasets\CREMA-D\1079_TIE_NEU_XX.wav
Happiness,Datasets\ESD\0013\Happy\0013_000900.wav
Happiness,Datasets\CREMA-D\1039_IEO_HAP_LO.wav
Happiness,Datasets\CREMA-D\1032_TIE_HAP_XX.wav
Happiness,Datasets\ESD\0020\Happy\0020_000894.wav
Anger,Datasets\ESD\0020\Angry\0020_000530.wav
Happiness,Datasets\CREMA-D\1036_WSI_HAP_XX.wav
Surprise,Datasets\ESD\0015\Surprise\0015_001613.wav
Sadness,Datasets\ESD\0020\Sad\0020_001188.wav
Anger,Datasets\ESD\0019\Angry\0019_000502.wav
Anger,Datasets\TESS\YAF_angry\YAF_back_angry.wav
Anger,Datasets\ESD\0018\Angry\0018_000586.wav
Disgust,Datasets\TESS\YAF_disgust\YAF_limb_disgust.wav
Surprise,Datasets\TESS\YAF_pleasant_surprised\YAF_chalk_ps.wav
Surprise,Datasets\ESD\0014\Surprise\0014_001526.wav
Disgust,Datasets\CREMA-D\1027_DFA_DIS_XX.wav
Neutral,Datasets\CREMA-D\1061_DFA_NEU_XX.wav
Surprise,Datasets\ESD\0011\Surprise\0011_001514.wav
Surprise,Datasets\ASVP\ASVP5\03-01-08-01-11-72-02-02-02.wav
Fear,Datasets\TESS\OAF_Fear\OAF_make_fear.wav
Surprise,Datasets\ESD\0016\Surprise\0016_001748.wav
Sadness,Datasets\ESD\0017\Sad\0017_001291.wav
Surprise,Datasets\ESD\0018\Surprise\0018_001744.wav
Fear,Datasets\CREMA-D\1004_TIE_FEA_XX.wav
Happiness,Datasets\RAVDESS-SONG\Actor_24\03-02-03-01-02-02-24.wav
Happiness,Datasets\ESD\0012\Happy\0012_001043.wav
Anger,Datasets\ESD\0013\Angry\0013_000518.wav
Happiness,Datasets\ESD\0016\Happy\0016_000971.wav
Happiness,Datasets\ESD\0016\Happy\0016_000787.wav
Surprise,Datasets\ESD\0013\Surprise\0013_001699.wav
Anger,Datasets\ESD\0011\Angry\0011_000467.wav
Anger,Datasets\RAVDESS-SONG\Actor_20\03-02-05-01-01-01-20.wav
Anger,Datasets\ESD\0014\Angry\0014_000366.wav
Neutral,Datasets\ESD\0015\Neutral\0015_000266.wav
Surprise,Datasets\TESS\YAF_pleasant_surprised\YAF_phone_ps.wav
Sadness,Datasets\ESD\0013\Sad\0013_001398.wav
Surprise,Datasets\ESD\0014\Surprise\0014_001660.wav
Neutral,Datasets\ESD\0017\Neutral\0017_000031.wav
Happiness,Datasets\ESD\0016\Happy\0016_000986.wav
Happiness,Datasets\ESD\0017\Happy\0017_000745.wav
Sadness,Datasets\ESD\0014\Sad\0014_001325.wav
Neutral,Datasets\TESS\OAF_neutral\OAF_note_neutral.wav
Surprise,Datasets\TESS\OAF_Pleasant_surprise\OAF_beg_ps.wav
Surprise,Datasets\ESD\0012\Surprise\0012_001529.wav
Disgust,Datasets\CREMA-D\1038_TAI_DIS_XX.wav
Neutral,Datasets\ESD\0020\Neutral\0020_000174.wav
Fear,Datasets\CREMA-D\1055_IEO_FEA_MD.wav
Anger,Datasets\ESD\0020\Angry\0020_000668.wav
Sadness,Datasets\ESD\0015\Sad\0015_001125.wav
Anger,Datasets\ESD\0018\Angry\0018_000395.wav
Happiness,Datasets\JL\female1_happy_14b_2.wav
Fear,Datasets\RAVDESS-SONG\Actor_17\03-02-06-01-01-02-17.wav
Neutral,Datasets\ESD\0017\Neutral\0017_000237.wav
Fear,Datasets\CREMA-D\1036_ITH_FEA_XX.wav
Sadness,Datasets\CREMA-D\1054_IEO_SAD_HI.wav
Neutral,Datasets\ESD\0015\Neutral\0015_000187.wav
Neutral,Datasets\SAVEE\KL\n23.wav
Neutral,Datasets\CREMA-D\1066_TIE_NEU_XX.wav
Disgust,Datasets\CREMA-D\1072_DFA_DIS_XX.wav
Surprise,Datasets\ESD\0015\Surprise\0015_001496.wav
Disgust,Datasets\TESS\OAF_disgust\OAF_jar_disgust.wav
Anger,Datasets\ASVP\ASVP5\03-01-05-02-04-60-02-02-02-15-22.wav
Neutral,Datasets\TESS\YAF_neutral\YAF_judge_neutral.wav
Neutral,Datasets\ESD\0014\Neutral\0014_000130.wav
Happiness,Datasets\TESS\YAF_happy\YAF_ditch_happy.wav
Neutral,Datasets\ESD\0015\Neutral\0015_000205.wav
Anger,Datasets\ASVP\ASVP5\03-01-05-02-02-53-02-02-02-03.wav
Anger,Datasets\RAVDESS-SONG\Actor_19\03-02-05-02-02-02-19.wav
Happiness,Datasets\CREMA-D\1026_ITH_HAP_XX.wav
Sadness,Datasets\ESD\0018\Sad\0018_001368.wav
Happiness,Datasets\CREMA-D\1062_TAI_HAP_XX.wav
Neutral,Datasets\RAVDESS-SONG\Actor_05\03-02-02-02-02-02-05.wav
Anger,Datasets\ESD\0018\Angry\0018_000417.wav
Neutral,Datasets\ESD\0015\Neutral\0015_000099.wav
Happiness,Datasets\RAVDESS-SONG\Actor_05\03-02-03-02-01-01-05.wav
Fear,Datasets\CREMA-D\1040_TIE_FEA_XX.wav
Sadness,Datasets\CREMA-D\1002_WSI_SAD_XX.wav
Disgust,Datasets\CREMA-D\1022_TSI_DIS_XX.wav
Anger,Datasets\ESD\0015\Angry\0015_000452.wav
Anger,Datasets\ESD\0015\Angry\0015_000371.wav
Sadness,Datasets\JL\female2_sad_10b_2.wav
Sadness,Datasets\ESD\0012\Sad\0012_001140.wav
Disgust,Datasets\CREMA-D\1082_IWL_DIS_XX.wav
Surprise,Datasets\ESD\0014\Surprise\0014_001606.wav
Sadness,Datasets\ESD\0014\Sad\0014_001346.wav
Anger,Datasets\ESD\0020\Angry\0020_000503.wav
Sadness,Datasets\ESD\0020\Sad\0020_001172.wav
Happiness,Datasets\CREMA-D\1042_ITH_HAP_XX.wav
Anger,Datasets\ASVP\ASVP5\03-01-05-01-01-66-02-02-02-15.wav
Disgust,Datasets\CREMA-D\1052_IWW_DIS_XX.wav
Neutral,Datasets\SAVEE\JK\n16.wav
Surprise,Datasets\ESD\0014\Surprise\0014_001678.wav
Sadness,Datasets\ESD\0015\Sad\0015_001126.wav
Sadness,Datasets\CREMA-D\1044_WSI_SAD_XX.wav
Neutral,Datasets\ESD\0016\Neutral\0016_000147.wav
Sadness,Datasets\CREMA-D\1051_TIE_SAD_XX.wav
Sadness,Datasets\CREMA-D\1050_TSI_SAD_XX.wav
Anger,Datasets\CREMA-D\1034_WSI_ANG_XX.wav
Neutral,Datasets\ESD\0020\Neutral\0020_000271.wav
Neutral,Datasets\ESD\0016\Neutral\0016_000320.wav
Sadness,Datasets\CREMA-D\1008_MTI_SAD_XX.wav
Happiness,Datasets\TESS\YAF_happy\YAF_fall_happy.wav
Happiness,Datasets\ESD\0015\Happy\0015_000998.wav
Anger,Datasets\CREMA-D\1081_IEO_ANG_LO.wav
Disgust,Datasets\CREMA-D\1044_MTI_DIS_XX.wav
Sadness,Datasets\ESD\0015\Sad\0015_001282.wav
Anger,Datasets\ESD\0013\Angry\0013_000381.wav
Fear,Datasets\CREMA-D\1029_IEO_FEA_LO.wav
Surprise,Datasets\ESD\0017\Surprise\0017_001675.wav
Disgust,Datasets\CREMA-D\1020_IOM_DIS_XX.wav
Sadness,Datasets\ESD\0019\Sad\0019_001249.wav
Neutral,Datasets\CREMA-D\1050_MTI_NEU_XX.wav
Neutral,Datasets\ESD\0014\Neutral\0014_000073.wav
Neutral,Datasets\RAVDESS\Actor_19\03-01-01-01-02-01-19.wav
Happiness,Datasets\ASVP\ASVP5\03-01-03-01-11-46-02-02-02-13.wav
Happiness,Datasets\ESD\0018\Happy\0018_000749.wav
Sadness,Datasets\ESD\0014\Sad\0014_001182.wav
Anger,Datasets\JL\female2_angry_4a_2.wav
Neutral,Datasets\ESD\0019\Neutral\0019_000156.wav
Sadness,Datasets\ESD\0015\Sad\0015_001381.wav
Surprise,Datasets\ESD\0013\Surprise\0013_001543.wav
Sadness,Datasets\CREMA-D\1022_IOM_SAD_XX.wav
Anger,Datasets\ESD\0013\Angry\0013_000646.wav
Happiness,Datasets\TESS\OAF_happy\OAF_tough_happy.wav
Sadness,Datasets\RAVDESS\Actor_05\03-01-04-02-02-01-05.wav
Fear,Datasets\CREMA-D\1072_IOM_FEA_XX.wav
Neutral,Datasets\ESD\0019\Neutral\0019_000019.wav
Surprise,Datasets\TESS\YAF_pleasant_surprised\YAF_tip_ps.wav
Surprise,Datasets\ESD\0012\Surprise\0012_001554.wav
Surprise,Datasets\ESD\0012\Surprise\0012_001681.wav
Happiness,Datasets\CREMA-D\1013_IEO_HAP_LO.wav
Sadness,Datasets\JL\male2_sad_3a_2.wav
Surprise,Datasets\RAVDESS\Actor_16\03-01-08-02-01-02-16.wav
Anger,Datasets\ESD\0016\Angry\0016_000669.wav
Surprise,Datasets\ESD\0019\Surprise\0019_001568.wav
Anger,Datasets\TESS\OAF_angry\OAF_youth_angry.wav
Neutral,Datasets\CREMA-D\1083_IWW_NEU_XX.wav
Neutral,Datasets\ESD\0017\Neutral\0017_000337.wav
Surprise,Datasets\ASVP\ASVP5\03-01-08-01-12-62-02-02-02.wav
Anger,Datasets\CREMA-D\1043_IWL_ANG_XX.wav
Neutral,Datasets\RAVDESS\Actor_07\03-01-02-02-01-01-07.wav
Neutral,Datasets\CREMA-D\1086_IWL_NEU_XX.wav
Sadness,Datasets\ESD\0020\Sad\0020_001208.wav
Sadness,Datasets\ESD\0011\Sad\0011_001294.wav
Anger,Datasets\ESD\0017\Angry\0017_000417.wav
Anger,Datasets\ESD\0019\Angry\0019_000486.wav
Sadness,Datasets\TESS\OAF_Sad\OAF_tape_sad.wav
Happiness,Datasets\RAVDESS\Actor_06\03-01-03-01-02-02-06.wav
Anger,Datasets\ESD\0014\Angry\0014_000573.wav
Sadness,Datasets\TESS\OAF_Sad\OAF_wag_sad.wav
Sadness,Datasets\CREMA-D\1072_IEO_SAD_MD.wav
Neutral,Datasets\CREMA-D\1006_TIE_NEU_XX.wav
Anger,Datasets\ESD\0020\Angry\0020_000659.wav
Fear,Datasets\CREMA-D\1086_TAI_FEA_XX.wav
Neutral,Datasets\ESD\0018\Neutral\0018_000244.wav
Sadness,Datasets\ASVP\ASVP3\03-01-04-01-02-101-03-01-00-14-02.wav
Surprise,Datasets\ESD\0013\Surprise\0013_001503.wav
Surprise,Datasets\RAVDESS\Actor_04\03-01-08-01-01-02-04.wav
Happiness,Datasets\ESD\0019\Happy\0019_000896.wav
Happiness,Datasets\SAVEE\KL\h08.wav
Neutral,Datasets\ESD\0020\Neutral\0020_000346.wav
Neutral,Datasets\ESD\0016\Neutral\0016_000117.wav
Fear,Datasets\RAVDESS-SONG\Actor_05\03-02-06-02-02-01-05.wav
Anger,Datasets\RAVDESS-SONG\Actor_15\03-02-05-01-02-01-15.wav
Happiness,Datasets\ESD\0013\Happy\0013_000984.wav
Anger,Datasets\ESD\0014\Angry\0014_000682.wav
Neutral,Datasets\RAVDESS\Actor_08\03-01-02-01-02-01-08.wav
Disgust,Datasets\CREMA-D\1005_IEO_DIS_HI.wav
Anger,Datasets\ASVP\ASVP5\03-01-05-01-04-60-02-02-02-15-04.wav
Anger,Datasets\ESD\0012\Angry\0012_000352.wav
Disgust,Datasets\RAVDESS\Actor_04\03-01-07-02-02-02-04.wav
Neutral,Datasets\ESD\0020\Neutral\0020_000257.wav
Anger,Datasets\ESD\0011\Angry\0011_000590.wav
Happiness,Datasets\ESD\0019\Happy\0019_001035.wav
Happiness,Datasets\SAVEE\JE\h07.wav
Anger,Datasets\CREMA-D\1043_ITS_ANG_XX.wav
Anger,Datasets\ESD\0013\Angry\0013_000376.wav
Disgust,Datasets\CREMA-D\1049_DFA_DIS_XX.wav
Happiness,Datasets\ESD\0016\Happy\0016_000883.wav
Fear,Datasets\CREMA-D\1081_TAI_FEA_XX.wav
Happiness,Datasets\ESD\0018\Happy\0018_000805.wav
Neutral,Datasets\ESD\0017\Neutral\0017_000066.wav
Happiness,Datasets\CREMA-D\1064_TAI_HAP_XX.wav
Sadness,Datasets\ESD\0011\Sad\0011_001254.wav
Fear,Datasets\ASVP\ASVP5\03-01-06-02-04-21-02-03-02.wav
Disgust,Datasets\TESS\OAF_disgust\OAF_wife_disgust.wav
Neutral,Datasets\ESD\0020\Neutral\0020_000062.wav
Fear,Datasets\CREMA-D\1001_IEO_FEA_HI.wav
Anger,Datasets\ESD\0018\Angry\0018_000676.wav
Sadness,Datasets\ESD\0018\Sad\0018_001378.wav
Neutral,Datasets\CREMA-D\1065_ITH_NEU_XX.wav
Anger,Datasets\CREMA-D\1079_IEO_ANG_LO.wav
Happiness,Datasets\ESD\0016\Happy\0016_000966.wav
Fear,Datasets\CREMA-D\1050_IEO_FEA_HI.wav
Disgust,Datasets\RAVDESS\Actor_05\03-01-07-01-02-01-05.wav
Happiness,Datasets\ESD\0017\Happy\0017_000828.wav
Sadness,Datasets\CREMA-D\1011_MTI_SAD_XX.wav
Neutral,Datasets\CREMA-D\1041_IWL_NEU_XX.wav
Sadness,Datasets\TESS\OAF_Sad\OAF_south_sad.wav
Sadness,Datasets\ESD\0011\Sad\0011_001148.wav
Fear,Datasets\CREMA-D\1045_WSI_FEA_XX.wav
Neutral,Datasets\ESD\0017\Neutral\0017_000072.wav
Neutral,Datasets\CREMA-D\1024_IEO_NEU_XX.wav
Fear,Datasets\TESS\YAF_fear\YAF_king_fear.wav
Neutral,Datasets\ASVP\ASVP5\03-01-02-01-07-65-02-02-02.wav
Surprise,Datasets\ESD\0013\Surprise\0013_001628.wav
Surprise,Datasets\ESD\0013\Surprise\0013_001490.wav
Neutral,Datasets\RAVDESS\Actor_22\03-01-02-01-01-01-22.wav
Happiness,Datasets\ESD\0014\Happy\0014_000940.wav
Surprise,Datasets\ESD\0014\Surprise\0014_001731.wav
Sadness,Datasets\CREMA-D\1088_ITH_SAD_XX.wav
Sadness,Datasets\CREMA-D\1010_DFA_SAD_XX.wav
Fear,Datasets\CREMA-D\1035_IWW_FEA_XX.wav
Sadness,Datasets\CREMA-D\1030_TAI_SAD_XX.wav
Sadness,Datasets\ESD\0016\Sad\0016_001347.wav
Surprise,Datasets\ASVP\ASVP5\03-01-08-01-17-41-02-01-02.wav
Happiness,Datasets\ESD\0014\Happy\0014_001009.wav
Neutral,Datasets\ESD\0013\Neutral\0013_000153.wav
Anger,Datasets\ESD\0013\Angry\0013_000443.wav
Happiness,Datasets\ESD\0015\Happy\0015_000746.wav
Neutral,Datasets\RAVDESS\Actor_16\03-01-01-01-02-01-16.wav
Fear,Datasets\CREMA-D\1066_IEO_FEA_MD.wav
Fear,Datasets\CREMA-D\1026_TAI_FEA_XX.wav
Neutral,Datasets\RAVDESS\Actor_20\03-01-02-01-02-02-20.wav
Sadness,Datasets\ESD\0016\Sad\0016_001346.wav
Sadness,Datasets\ESD\0012\Sad\0012_001295.wav
Disgust,Datasets\RAVDESS\Actor_10\03-01-07-01-01-02-10.wav
Anger,Datasets\CREMA-D\1067_TIE_ANG_XX.wav
Disgust,Datasets\ASVP\ASVP3\03-01-07-01-02-102-02-02-02-03.wav
Surprise,Datasets\ESD\0018\Surprise\0018_001708.wav
Neutral,Datasets\ESD\0018\Neutral\0018_000005.wav
Surprise,Datasets\RAVDESS\Actor_19\03-01-08-02-01-01-19.wav
Anger,Datasets\RAVDESS\Actor_07\03-01-05-01-02-01-07.wav
Neutral,Datasets\CREMA-D\1031_ITH_NEU_XX.wav
Anger,Datasets\ESD\0020\Angry\0020_000569.wav
Surprise,Datasets\ESD\0014\Surprise\0014_001710.wav
Disgust,Datasets\ASVP\ASVP5\03-01-07-01-02-90-02-03-02.wav
Neutral,Datasets\ASVP\ASVP3\03-01-02-01-06-100-04-02-02.wav
Happiness,Datasets\ESD\0015\Happy\0015_000749.wav
Surprise,Datasets\ESD\0013\Surprise\0013_001606.wav
Surprise,Datasets\ESD\0013\Surprise\0013_001740.wav
Neutral,Datasets\JL\female1_neutral_4a_2.wav
Sadness,Datasets\CREMA-D\1090_WSI_SAD_XX.wav
Neutral,Datasets\ESD\0014\Neutral\0014_000024.wav
Sadness,Datasets\RAVDESS-SONG\Actor_16\03-02-04-01-02-01-16.wav
Sadness,Datasets\ESD\0015\Sad\0015_001354.wav
Anger,Datasets\ESD\0016\Angry\0016_000630.wav
Anger,Datasets\TESS\OAF_angry\OAF_rose_angry.wav
Sadness,Datasets\CREMA-D\1045_ITS_SAD_XX.wav
Neutral,Datasets\ESD\0015\Neutral\0015_000163.wav
Neutral,Datasets\ESD\0016\Neutral\0016_000255.wav
Anger,Datasets\ESD\0019\Angry\0019_000477.wav
Happiness,Datasets\ESD\0018\Happy\0018_000802.wav
Anger,Datasets\CREMA-D\1070_IWL_ANG_XX.wav
Sadness,Datasets\ESD\0016\Sad\0016_001199.wav
Anger,Datasets\ESD\0016\Angry\0016_000628.wav
Anger,Datasets\ESD\0013\Angry\0013_000549.wav
Sadness,Datasets\ESD\0016\Sad\0016_001192.wav
Happiness,Datasets\ESD\0018\Happy\0018_000762.wav
Sadness,Datasets\ESD\0013\Sad\0013_001221.wav
Anger,Datasets\ESD\0014\Angry\0014_000561.wav
Sadness,Datasets\TESS\YAF_sad\YAF_loaf_sad.wav
Sadness,Datasets\RAVDESS-SONG\Actor_23\03-02-04-01-02-02-23.wav
Fear,Datasets\RAVDESS\Actor_23\03-01-06-02-02-02-23.wav
Sadness,Datasets\ESD\0016\Sad\0016_001069.wav
Happiness,Datasets\ASVP\ASVP5\03-01-03-01-06-71-02-02-02.wav
Disgust,Datasets\SAVEE\DC\d08.wav
Surprise,Datasets\ESD\0020\Surprise\0020_001720.wav
Disgust,Datasets\TESS\OAF_disgust\OAF_sure_disgust.wav
Neutral,Datasets\ASVP\ASVP5\03-01-02-01-43-57-02-02-02-15.wav
Happiness,Datasets\RAVDESS\Actor_04\03-01-03-01-02-02-04.wav
Sadness,Datasets\ESD\0011\Sad\0011_001297.wav
Anger,Datasets\RAVDESS-SONG\Actor_12\03-02-05-02-01-01-12.wav
Neutral,Datasets\ASVP\ASVP5\03-01-02-01-02-68-02-02-02.wav
Anger,Datasets\ESD\0018\Angry\0018_000522.wav
Anger,Datasets\ASVP\ASVP5\03-01-05-02-03-66-02-02-02.wav
Anger,Datasets\JL\male2_angry_12b_1.wav
Happiness,Datasets\ESD\0014\Happy\0014_000711.wav
Surprise,Datasets\ESD\0012\Surprise\0012_001549.wav
Anger,Datasets\ESD\0016\Angry\0016_000521.wav
Anger,Datasets\ESD\0014\Angry\0014_000592.wav
Disgust,Datasets\CREMA-D\1051_ITH_DIS_XX.wav
Happiness,Datasets\ESD\0017\Happy\0017_000788.wav
Disgust,Datasets\CREMA-D\1017_IOM_DIS_XX.wav
Sadness,Datasets\ESD\0015\Sad\0015_001160.wav
Surprise,Datasets\ESD\0017\Surprise\0017_001562.wav
Neutral,Datasets\ESD\0020\Neutral\0020_000110.wav
Neutral,Datasets\CREMA-D\1081_DFA_NEU_XX.wav
Happiness,Datasets\ESD\0011\Happy\0011_000712.wav
Sadness,Datasets\CREMA-D\1076_IEO_SAD_MD.wav
Surprise,Datasets\ESD\0012\Surprise\0012_001713.wav
Anger,Datasets\CREMA-D\1052_ITS_ANG_XX.wav
Sadness,Datasets\TESS\OAF_Sad\OAF_germ_sad.wav
Fear,Datasets\CREMA-D\1010_IEO_FEA_MD.wav
Happiness,Datasets\CREMA-D\1090_ITS_HAP_XX.wav
Fear,Datasets\CREMA-D\1015_IEO_FEA_LO.wav
Happiness,Datasets\CREMA-D\1046_ITH_HAP_XX.wav
Sadness,Datasets\ESD\0011\Sad\0011_001138.wav
Fear,Datasets\TESS\OAF_Fear\OAF_germ_fear.wav
Sadness,Datasets\ESD\0017\Sad\0017_001223.wav
Sadness,Datasets\RAVDESS-SONG\Actor_17\03-02-04-02-02-01-17.wav
Disgust,Datasets\RAVDESS\Actor_14\03-01-07-02-01-01-14.wav
Surprise,Datasets\ESD\0019\Surprise\0019_001516.wav
Anger,Datasets\ASVP\ASVP5\03-01-05-01-06-54-02-02-02-15-17.wav
Surprise,Datasets\ESD\0015\Surprise\0015_001707.wav
Surprise,Datasets\ESD\0016\Surprise\0016_001455.wav
Sadness,Datasets\ESD\0015\Sad\0015_001171.wav
Sadness,Datasets\ESD\0015\Sad\0015_001388.wav
Neutral,Datasets\ESD\0019\Neutral\0019_000216.wav
Fear,Datasets\CREMA-D\1065_MTI_FEA_XX.wav
Neutral,Datasets\ESD\0016\Neutral\0016_000039.wav
Neutral,Datasets\ESD\0014\Neutral\0014_000012.wav
Neutral,Datasets\ESD\0011\Neutral\0011_000063.wav
Happiness,Datasets\ESD\0018\Happy\0018_001011.wav
Surprise,Datasets\ASVP\ASVP5\03-01-08-01-04-98-02-02-02-32.wav
Anger,Datasets\ESD\0012\Angry\0012_000614.wav
Happiness,Datasets\TESS\YAF_happy\YAF_soap_happy.wav
Anger,Datasets\ESD\0020\Angry\0020_000622.wav
Fear,Datasets\CREMA-D\1002_TSI_FEA_XX.wav
Sadness,Datasets\ESD\0020\Sad\0020_001293.wav
Anger,Datasets\CREMA-D\1088_IEO_ANG_MD.wav
Neutral,Datasets\ESD\0017\Neutral\0017_000348.wav
Neutral,Datasets\ESD\0012\Neutral\0012_000104.wav
Surprise,Datasets\ESD\0014\Surprise\0014_001486.wav
Neutral,Datasets\TESS\OAF_neutral\OAF_soup_neutral.wav
Happiness,Datasets\CREMA-D\1046_ITS_HAP_XX.wav
Neutral,Datasets\CREMA-D\1049_TAI_NEU_XX.wav
Happiness,Datasets\ESD\0013\Happy\0013_001044.wav
Surprise,Datasets\ASVP\ASVP5\03-01-08-02-01-54-02-02-02.wav
Neutral,Datasets\ESD\0017\Neutral\0017_000280.wav
Anger,Datasets\ESD\0017\Angry\0017_000652.wav
Happiness,Datasets\TESS\OAF_happy\OAF_hate_happy.wav
Neutral,Datasets\ESD\0013\Neutral\0013_000091.wav
Neutral,Datasets\TESS\OAF_neutral\OAF_kill_neutral.wav
Fear,Datasets\CREMA-D\1067_IOM_FEA_XX.wav
Neutral,Datasets\ESD\0013\Neutral\0013_000341.wav
Sadness,Datasets\CREMA-D\1012_ITH_SAD_XX.wav
Anger,Datasets\ESD\0011\Angry\0011_000658.wav
Neutral,Datasets\ESD\0018\Neutral\0018_000318.wav
Surprise,Datasets\ESD\0013\Surprise\0013_001582.wav
Surprise,Datasets\ESD\0016\Surprise\0016_001506.wav
Happiness,Datasets\ESD\0014\Happy\0014_000997.wav
Sadness,Datasets\CREMA-D\1055_WSI_SAD_XX.wav
Fear,Datasets\CREMA-D\1059_IEO_FEA_HI.wav
Anger,Datasets\CREMA-D\1023_TIE_ANG_XX.wav
Sadness,Datasets\JL\female2_sad_6b_1.wav
Neutral,Datasets\CREMA-D\1084_IOM_NEU_XX.wav
Happiness,Datasets\ESD\0011\Happy\0011_000779.wav
Neutral,Datasets\RAVDESS\Actor_03\03-01-01-01-01-01-03.wav
Neutral,Datasets\ASVP\ASVP5\03-01-02-01-02-65-02-02-02.wav
Sadness,Datasets\ESD\0019\Sad\0019_001201.wav
Surprise,Datasets\TESS\OAF_Pleasant_surprise\OAF_sail_ps.wav
Anger,Datasets\ESD\0013\Angry\0013_000387.wav
Sadness,Datasets\CREMA-D\1061_DFA_SAD_XX.wav
Happiness,Datasets\ESD\0020\Happy\0020_000717.wav
Happiness,Datasets\TESS\YAF_happy\YAF_boat_happy.wav
Fear,Datasets\CREMA-D\1025_IWW_FEA_XX.wav
Surprise,Datasets\ESD\0019\Surprise\0019_001487.wav
Anger,Datasets\CREMA-D\1077_IOM_ANG_XX.wav
Happiness,Datasets\ESD\0018\Happy\0018_000742.wav
Anger,Datasets\ESD\0013\Angry\0013_000449.wav
Surprise,Datasets\TESS\OAF_Pleasant_surprise\OAF_bath_ps.wav
Anger,Datasets\ESD\0014\Angry\0014_000351.wav
Neutral,Datasets\ESD\0020\Neutral\0020_000104.wav
Neutral,Datasets\ESD\0017\Neutral\0017_000345.wav
Anger,Datasets\ASVP\ASVP5\03-01-05-01-15-46-02-02-02-15-13.wav
Neutral,Datasets\ESD\0020\Neutral\0020_000210.wav
Fear,Datasets\CREMA-D\1075_TAI_FEA_XX.wav
Happiness,Datasets\ESD\0011\Happy\0011_000805.wav
Sadness,Datasets\ESD\0011\Sad\0011_001252.wav
Fear,Datasets\TESS\OAF_Fear\OAF_love_fear.wav
Sadness,Datasets\CREMA-D\1072_TAI_SAD_XX.wav
Anger,Datasets\CREMA-D\1041_ITH_ANG_XX.wav
Anger,Datasets\ESD\0019\Angry\0019_000493.wav
Surprise,Datasets\ESD\0020\Surprise\0020_001579.wav
Sadness,Datasets\ESD\0016\Sad\0016_001227.wav
Sadness,Datasets\ASVP\ASVP5\03-01-04-01-47-121-02-02-02-17.wav
Anger,Datasets\CREMA-D\1084_IWL_ANG_XX.wav
Neutral,Datasets\ESD\0019\Neutral\0019_000177.wav
Happiness,Datasets\TESS\OAF_happy\OAF_love_happy.wav
Neutral,Datasets\CREMA-D\1011_ITH_NEU_XX.wav
Neutral,Datasets\ESD\0011\Neutral\0011_000230.wav
Happiness,Datasets\CREMA-D\1057_MTI_HAP_XX.wav
Neutral,Datasets\ESD\0012\Neutral\0012_000173.wav
Sadness,Datasets\ESD\0017\Sad\0017_001219.wav
Happiness,Datasets\ESD\0015\Happy\0015_000905.wav
Happiness,Datasets\ESD\0012\Happy\0012_000769.wav
Neutral,Datasets\ESD\0011\Neutral\0011_000126.wav
Sadness,Datasets\ESD\0012\Sad\0012_001377.wav
Happiness,Datasets\ESD\0017\Happy\0017_000890.wav
Happiness,Datasets\ESD\0015\Happy\0015_000818.wav
Neutral,Datasets\ESD\0012\Neutral\0012_000015.wav
Happiness,Datasets\ESD\0016\Happy\0016_000930.wav
Anger,Datasets\ESD\0018\Angry\0018_000657.wav
Disgust,Datasets\RAVDESS\Actor_19\03-01-07-01-02-01-19.wav
Anger,Datasets\ESD\0017\Angry\0017_000642.wav
Surprise,Datasets\ESD\0013\Surprise\0013_001598.wav
Neutral,Datasets\ASVP\ASVP1\03-01-02-01-30-50-02-02-02.wav
